Plate_Num,Plant_Num,Treatment,Length,Number
4,30,Inoculated,4-5 cm,98
4,31,Inoculated,0-1 cm,NA
4,31,Inoculated,1-2 cm,NA
4,31,Inoculated,2-3 cm,NA
4,31,Inoculated,3-4 cm,NA
4,31,Inoculated,4-5 cm,NA
4,32,Inoculated,0-1 cm,112
4,32,Inoculated,1-2 cm,74
4,32,Inoculated,2-3 cm,40
4,32,Inoculated,3-4 cm,68
4,32,Inoculated,4-5 cm,38
